G4648,2,2,1890,1890
G4643,8,1,16800,16920
DJ5731,1,1,22410,22410
DJ5732,2,2,24690,24690
G4647,8,1,25170,25290
0G847/G850,8,1,25290,26580
G2201,6,1,27990,28170
G1809,6,1,28320,28320
G1914,2,2,28920,28920
D307,8,1,29055,29175
D5611/G564,8,1,29910,31980
G870,6,2,30450,30690
G6681,6,1,30720,30900
G2001,6,1,31080,31200
G2390,6,2,31230,31410
G4289,6,1,31650,31770
G2203,8,1,32430,32550
G1900,8,2,32970,33150
G2021,8,1,33330,33450
G98,2,2,40290,40290
G1879,8,1,40566,40686
G2006,6,2,41190,41850
G1831,8,1,41370,41490
G350,2,2,41550,41550
G2215,8,1,41670,41790
G656,8,2,42030,42270
G1922,8,2,42450,42630
G1971,6,1,42510,42630
G862,8,2,42750,42990
G4018,6,2,43050,43710
G653,1,1,43350,43359
G866,8,2,43770,44010
G1887,8,1,44045,44165
G662,8,2,44310,44430
G1904,8,2,44610,44790
G671,8,1,44900,45020
G824,6,2,44910,45270
G857,8,1,45780,45900
G660,8,2,45930,46050
G1844,8,2,34650,34770
G427,8,1,35190,35370
G2002,8,2,35370,35490
G1712,8,2,35670,35790
G2213,1,1,35850,35850
G362,2,2,36210,36210
G89,1,1,36360,36360
G2052,8,2,36690,36810
G2023,1,1,36885,36885
G6682,8,2,37350,37530
G6695/G6696,6,1,37410,37530
G1896,8,2,37650,38130
G2205,5,1,37770,37890
G26,2,2,37950,37950
G672,2,2,39090,39090
G1833,8,1,39251,39431
G2207,8,1,39630,39750
G1918,8,2,39750,39870
G651,8,1,39930,40050
G820,8,2,40050,40470
G87,1,1,61539,61539
G1834,8,2,61650,61770
G1903,8,1,62079,62199
G1942,6,2,62190,62310
G2012,8,2,62490,62610
G1925,1,1,62799,62799
G666,8,2,63210,63330
G819,1,1,63399,63399
G428,8,2,63510,63630
G1888,8,2,63810,64110
G2389,6,1,63879,63999
G2095,8,1,64239,64359
G823,8,1,64539,64659
G1880,8,2,64710,65010
G6613/G808,6,1,64860,66240
G661,8,1,65259,65379
G1710,8,2,65550,65790
G9199,8,1,66099,66579
G349,1,1,66360,66360
G1832,8,2,66750,67170
G6699/G6700,6,1,66870,70080
G2216,8,2,67350,67530
G837,6,1,67359,67479
G1929,8,1,67659,67779
G673,8,1,67959,68079
G2206,6,2,68070,68370
G674,8,2,68430,68730
G1843,6,1,68679,68799
G668,8,2,68910,69090
G1933,8,1,69099,69219
G2208,8,2,69330,69450
G4291,6,1,69399,69519
G9193/G9194,8,1,69939,72900
G1293,6,1,70239,70359
G670,6,2,70380,70920
G90,2,2,70710,70710
G663,4,1,70779,70899
G2013,6,1,71139,71619
G845,1,1,71439,71439
G2022,2,2,71490,71490
G2051,6,1,71979,72099
G9200,4,2,71980,72520
DJ34,6,2,72630,73290
G665,4,1,72690,72810
G2024,8,2,73350,73590
G4612,8,2,73950,74070
G861,8,1,74559,74679
G4290,8,2,74730,74850
G1711,8,1,74919,75219
G841,8,1,77199,76119
G669,8,1,76359,76839
G2210,6,2,76410,76530
G827,6,1,76719,77139
G1823/D5612,8,1,77019,78540
G4017,6,1,77319,77799
G1937,1,1,77559,77559
D308,6,2,77980,78100
G1855,6,1,78459,78579
G2214,8,2,78690,78990
G1899,6,1,78759,78879
G869,8,1,79059,79179
G25,1,1,79599,79599
G1941,8,1,80079,80199
G2212,8,2,80670,80790
G4644,8,2,85470,85590
G1709,8,1,46119,46239
G1294,6,2,46230,46350
G1875,8,1,46479,46599
G1975,8,1,46779,46959
G834,6,2,46890,47010
G641,8,1,47199,47319
G4286,2,2,47490,47490
G4611,6,1,47499,48819
G361,1,1,47859,47859
G4292,8,2,47970,48090
G642,8,2,48270,48390
G571,1,1,48579,48579
G2204,8,2,48930,49110
G2007,6,1,49059,49539
G307,8,1,49659,49839
G1840,8,2,49885,50005
G1701,8,1,50139,50259
G1926,6,2,50250,50370
G655,8,1,50439,50559
G838,8,2,50670,50790
G1839,8,1,50970,51090
G658,8,2,51390,51510
G1883,6,1,51399,51579
G828,8,2,51690,51810
G1856,8,2,52110,52230
G865,8,1,52299,52479
G1282,6,2,52410,52530
G430,8,2,52770,53250
G833,6,1,52899,53019
G88,2,2,53070,53070
G429,6,1,53199,53319
G842,8,2,53550,53670
G1921,1,1,53739,53739
G2096,8,2,53970,54270
G853,6,1,54579,55380
G1884,8,2,54690,54810
G97,1,1,54900,54900
G1836,8,2,54990,55110
G1835,1,1,55200,55200
G846,8,2,55290,55410
G1972,8,2,55710,56130
G667,6,1,55959,56079
G574,8,2,56430,56610
G4285,6,1,56580,56820
G854,8,2,56790,56910
DJ33,6,1,56940,58260
G1281,8,1,57300,57420
G2088,8,2,57510,57630
G659,1,1,57879,57879
G664,8,2,58230,58350
G6697/G6698,8,1,58359,60600
G1702,6,2,58590,58710
G2087,6,1,58860,59040
G308,6,2,59190,59310
G1938,6,2,59490,59610
G1976,6,2,59850,59970
G858,6,2,60150,60270
G1895,5,1,60159,60279
G1876,8,2,60930,61110
G2211,1,1,60999,60999
